KEY VALUE,English,Spanish,Brazilian,Chinese,French,German,Hindi,Indonesian,Italian,Japanese,Korean,Russian,LatinAmerican,Thai,Turkish
general_cp,CP,PC,PC,CP,PC,WP,CP,CP,PL,CP,CP,БС,PC,CP,DG
filter_key_distance,distance,distancia,distância,距離,distance,Entfernung,दूर,Jarak,distanza,きょり,거리,нарасстоянии,distancia,ระยะทาง,mesafe
pokedex_sort_hp,HP,Puntos de Salud,PS,HP,PV,KP,HP,HP,Punti salute,HP,HP,ОЖ,PS,HP,SP
filter_key_year,year,año,ano,年,année,Jahr,साल,tahun,anno,年,연도,год,año,ป,yıl
filter_key_age,age,edad,idade,日數,âge,Alter,उ,usia,età,日数,일수,возраст,edad,อายุ,yaş
buddy_set,Buddy,Compañero,Companheiro,夥伴,Copain,Kumpel,पाटनर,Partner,Compagno,相棒を選ぶ,파트너 포켓몬,Приятель,Compañero,คูหู,Dost
pokedex_mode_name_mega,Mega,Mega,Mega,超級,Méga,Mega,मेगा,Mega,Mega,メガ,메가,Мега,Mega,เมกา,Mega
filter_key_mega_level,Mega,Mega,Mega,超級,Méga,Mega,मेगा,Mega,Mega,メガ,메가,Мега,Mega,เมกา,Mega
filter_key_attack,attack,ataque,ataque,攻擊,attaque,Angriffs-Wert,अटैक,serangan,attacco,こうげき,공격,Атака,ataque,โจมตี,saldırı
filter_key_defense,defense,defensa,defesa,防禦,défense,Verteidigungs-Wert,डफ़ेंस,pertahanan,difesa,ぼうぎょ,방어,Защита,defensa,ปองกัน,savunma
pokemon_type_bug,Bug,Bicho,Inseto,蟲,Insecte,Käfer,बग,Serangga,Coleottero,むし,벌레,Насекомое,Insecto,แมลง,Böcek
pokemon_type_dark,Dark,Siniestro,Sombrio,惡,Ténèbres,Unlicht,डाक,Kegelapan,Buio,あく,악,Тёмный,Siniestro,ความมืด,Karanlık
pokemon_type_dragon,Dragon,Dragón,Dragão,龍,Dragon,Drache,डैगन,Naga,Drago,ドラゴン,드래곤,Дракон,Dragón,มังกร,Ejderha
pokemon_type_electric,Electric,Eléctrico,Elétrico,電,Électrik,Elektro,इलटक,Listrik,Elettro,でんき,전기,Электро,Eléctrico,ไฟฟา,Elektrik
pokemon_type_fairy,Fairy,Hada,Fada,妖精,Fée,Fee,फ़ेर,Peri,Folletto,フェアリー,페어리,Фея,Hada,แฟรี่,Peri
pokemon_type_fighting,Fighting,Lucha,Lutador,格鬥,Combat,Kampf,फ़ाइटंग,Petarung,Lotta,かくとう,격투,Боевой,Pelea,ตอสู,Dövüşçü
pokemon_type_fire,Fire,Fuego,Fogo,火,Feu,Feuer,फ़ायर,Api,Fuoco,ほのお,불꽃,Огонь,Fuego,ไฟ,Ateş
pokemon_type_flying,Flying,Volador,Voador,飛行,Vol,Flug,़लाइंग,Terbang,Volante,ひこう,비행,Летающий,Volador,บิน,Uçan
pokemon_type_ghost,Ghost,Fantasma,Fantasma,幽靈,Spectre,Geist,घोट,Hantu,Spettro,ゴースト,고스트,Привидение,Fantasma,ผี,Hayalet
pokemon_type_grass,Grass,Planta,Planta,草,Plante,Pflanze,ास,Daun,Erba,くさ,풀,Трава,Planta,หญา,Bitki
pokemon_type_ground,Ground,Tierra,Terrestre,地面,Sol,Boden,ाउंड,Tanah,Terra,じめん,땅,Земля,Tierra,ดิน,Yer
pokemon_type_ice,Ice,Hielo,Gelo,冰,Glace,Eis,आइस,Es,Ghiaccio,こおり,얼음,Лёд,Hielo,น้ำแข็ง,Buz
pokemon_type_normal,Normal,Normal,Normal,一般,Normal,Normal,नॉमल,Normal,Normale,ノーマル,노말,Обычный,Normal,ปกติ,Normal
pokemon_type_poison,Poison,Veneno,Venenoso,毒,Poison,Gift,पॉइज़न,Racun,Veleno,どく,독,Яд,Veneno,พิษ,Zehir
pokemon_type_psychic,Psychic,Psíquico,Psíquico,超能力,Psy,Psycho,साइकक,Psychic,Psico,エスパー,에스퍼,Психо,Psíquico,พลังจิต,Psişik
pokemon_type_rock,Rock,Roca,Pedra,岩石,Roche,Gestein,रॉक,Bebatuan,Roccia,いわ,바위,Камень,Roca,หิน,Kaya
pokemon_type_steel,Steel,Acero,Aço,鋼,Acier,Stahl,टल,Logam,Acciaio,はがね,강철,Сталь,Acero,โลหะ,Çelik
pokemon_type_water,Water,Agua,Água,水,Eau,Wasser,वॉटर,Air,Acqua,みず,물,Вода,Agua,น้ำ,Su
